binf_chr_start_end	fus_total_overlaps	fus_variance	fus_pearson_median_skew	fus_kurtosis_excess	fus_max_binding_offset	hnrnpc_total_overlaps	hnrnpc_variance	hnrnpc_pearson_median_skew	hnrnpc_kurtosis_excess	hnrnpc_max_binding_offset	hnrnpm_total_overlaps	hnrnpm_variance	hnrnpm_pearson_median_skew	hnrnpm_kurtosis_excess	hnrnpm_max_binding_offset	khsrp_total_overlaps	khsrp_variance	khsrp_pearson_median_skew	khsrp_kurtosis_excess	khsrp_max_binding_offset	khsrpctrl_total_overlaps	khsrpctrl_variance	khsrpctrl_pearson_median_skew	khsrpctrl_kurtosis_excess	khsrpctrl_max_binding_offset	prpf8_total_overlaps	prpf8_variance	prpf8_pearson_median_skew	prpf8_kurtosis_excess	prpf8_max_binding_offset	prpf8ctrl_total_overlaps	prpf8ctrl_variance	prpf8ctrl_pearson_median_skew	prpf8ctrl_kurtosis_excess	prpf8ctrl_max_binding_offset	ptbp1_total_overlaps	ptbp1_variance	ptbp1_pearson_median_skew	ptbp1_kurtosis_excess	ptbp1_max_binding_offset	sfb31_total_overlaps	sfb31_variance	sfb31_pearson_median_skew	sfb31_kurtosis_excess	sfb31_max_binding_offset	u2af2_total_overlaps	u2af2_variance	u2af2_pearson_median_skew	u2af2_kurtosis_excess	u2af2_max_binding_offset	u2af2ctrl_total_overlaps	u2af2ctrl_variance	u2af2ctrl_pearson_median_skew	u2af2ctrl_kurtosis_excess	u2af2ctrl_max_binding_offset
chr1_1339812_1339813	36	0.156976	1.35616	2.3713	31	5	0.0242568	0.479157	35.2255	46	18	0.0815326	0.940875	6.26503	64	14	0.0747506	0.764268	17.3713	-85	16	0.0732655	0.882258	7.64899	-79	294	1.62174	1.08998	-0.695705	-64	14	0.0648004	0.820851	9.43201	-98	23	0.101334	1.07839	3.86835	33	0	0	0	0	0	42	0.254845	1.24176	16.1717	-17	6	0.0289597	0.526235	28.5308	38
chr1_1420728_1420729	10	0.0472761	0.686443	15.1524	-26	0	0	0	0	0	2	0.00985124	0.300753	95.51	-31	2	0.00985124	0.300753	95.51	-98	1	0.00495037	0.212132	196.005	84	111	0.476127	2.40097	-0.494461	87	3	0.0147026	0.369274	62.0152	24	11	0.0517314	0.72184	13.3306	84	0	0	0	0	0	2	0.00985124	0.300753	95.51	-15	2	0.00985124	0.300753	95.51	-89
chr1_2137334_2137335	14	0.0648004	0.820851	9.43201	-91	1	0.00495037	0.212132	196.005	-65	1	0.00495037	0.212132	196.005	-9	2	0.00985124	0.300753	95.5101	-82	2	0.00985124	0.300753	95.51	-29	6	0.0289597	0.526235	28.5307	-63	5	0.0242568	0.479157	35.2255	-98	9	0.0427712	0.649519	17.3802	85	0	0	0	0	0	1	0.00495037	0.212132	196.005	92	5	0.0242568	0.479157	35.2255	2
chr1_2171959_2171960	3	0.0147026	0.369274	62.0152	-94	8	0.0382169	0.610784	20.1665	-82	7	0.033613	0.569862	23.7504	-98	0	0	0	0	0	4	0.0195045	0.427482	45.2703	-95	46	0.275983	1.3069	6.05051	97	4	0.0195045	0.427482	45.2703	-71	11	0.0517314	0.72184	13.3306	3	0	0	0	0	0	10	0.0572263	0.623918	28.8885	-72	2	0.00985124	0.300753	95.5101	-95
chr1_2185527_2185528	12	0.0660875	0.696702	22.0527	-91	1	0.00495037	0.212132	196.005	16	1	0.00495037	0.212132	196.005	-14	4	0.0195045	0.427482	45.2703	-98	1	0.00495037	0.212132	196.005	-7	14	0.0847009	0.717975	21.4559	-7	1	0.00495037	0.212132	196.005	51	8	0.0382169	0.610784	20.1665	17	1	0.00495037	0.212132	196.005	0	2	0.00985124	0.300753	95.51	14	2	0.00985124	0.300753	95.5101	39
chr1_2231989_2231990	207	0.964283	0.0911956	-0.133769	-38	43	0.198015	1.44226	2.70894	-37	162	0.88275	-0.619542	1.30808	29	100	0.578352	1.96259	3.2334	-38	12	0.0561372	0.755929	11.8135	-50	17	0.0873741	0.858386	12.6428	35	12	0.0561372	0.755929	11.8135	74	95	0.547759	1.91582	2.31767	-40	1	0.00495037	0.212132	196.005	71	24	0.134997	0.974933	10.2087	-67	8	0.0382169	0.610784	20.1665	-44
chr1_2389781_2389782	14	0.0648004	0.820851	9.43201	-45	8	0.0382169	0.610784	20.1665	-76	5	0.0242568	0.479157	35.2255	-24	2	0.00985124	0.300753	95.51	-46	3	0.0147026	0.369274	62.0152	-16	8	0.0382169	0.610784	20.1665	25	3	0.0147026	0.369274	62.0151	-98	7	0.033613	0.569862	23.7504	-84	0	0	0	0	0	2	0.00985124	0.300753	95.51	24	1	0.00495037	0.212132	196.005	-29
chr1_2644664_2644665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_2786441_2786442	0	0	0	0	0	1	0.00495037	0.212132	196.005	-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_2788831_2788832	0	0	0	0	0	1	0.00495037	0.212132	196.005	-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3432621_3432622	3	0.0246529	0.285176	131.817	-11	1	0.00495037	0.212132	196.005	-8	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	24	2	0.00985124	0.300753	95.51	-36	0	0	0	0	0	7	0.033613	0.569862	23.7504	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3466913_3466914	25	0.118858	1.08231	6.13474	-1	6	0.0389099	0.45399	58.1529	-89	7	0.0435633	0.500568	47.475	66	4	0.0195045	0.427482	45.2703	-89	2	0.00985124	0.300753	95.51	30	39	0.186233	1.34884	3.60879	-17	6	0.0289597	0.526235	28.5308	-90	11	0.0517314	0.72184	13.3306	9	0	0	0	0	0	8	0.0382169	0.610784	20.1665	30	3	0.0147026	0.369274	62.0152	-98
chr1_3637962_3637963	0	0	0	0	0	4	0.0195045	0.427482	45.2703	-6	2	0.00985124	0.300753	95.5101	-92	1	0.00495037	0.212132	196.005	83	0	0	0	0	0	3	0.0147026	0.369275	62.0152	-83	0	0	0	0	0	3	0.0147026	0.369275	62.0152	-82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3753202_3753203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3771353_3771354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3781719_3781720	0	0	0	0	0	5	0.0242568	0.479157	35.2255	-61	0	0	0	0	0	8	0.0382169	0.610784	20.1665	-6	0	0	0	0	0	11	0.0517314	0.72184	13.3306	40	0	0	0	0	0	2	0.00985124	0.300753	95.5101	30	0	0	0	0	0	2	0.00985124	0.300753	95.51	-63	0	0	0	0	0
chr1_3782171_3782172	0	0	0	0	0	1	0.00495037	0.212132	196.005	-56	4	0.0195045	0.427482	45.2703	23	2	0.00985124	0.300753	95.51	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3782185_3782186	0	0	0	0	0	1	0.00495037	0.212132	196.005	-42	3	0.0147026	0.369274	62.0152	37	2	0.00985124	0.300753	95.51	13	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-89	1	0.00495037	0.212132	196.005	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3824766_3824767	32	0.19356	1.0856	11.7639	54	11	0.0616816	0.661059	25.1234	5	12	0.0561372	0.755929	11.8135	31	11	0.0517314	0.72184	13.3306	54	3	0.0147026	0.369274	62.0152	-86	25	0.138759	1.00169	9.49077	-37	2	0.00985124	0.300753	95.51	-98	19	0.0855919	0.969309	5.68334	54	0	0	0	0	0	10	0.0472761	0.686443	15.1524	53	2	0.00985124	0.300753	95.51	0
chr1_3836437_3836438	23	0.121235	0.985915	9.52356	-98	2	0.00985124	0.300753	95.51	-98	1	0.00495037	0.212132	196.005	69	19	0.135343	0.770834	25.7111	-40	7	0.033613	0.569862	23.7504	-77	12	0.0660875	0.696702	22.0527	-24	0	0	0	0	0	4	0.0195045	0.427482	45.2703	-93	0	0	0	0	0	3	0.0147026	0.369274	62.0152	-41	0	0	0	0	0
chr1_3865274_3865275	10	0.0472761	0.686443	15.1524	68	15	0.0790079	0.796491	15.5549	82	139	0.770526	2.36345	0.105529	-6	9	0.0427712	0.649519	17.3802	66	4	0.0195045	0.427482	45.2703	-81	9	0.0427712	0.649519	17.3802	-87	1	0.00495037	0.212132	196.005	-21	39	0.196183	1.31419	4.22156	-63	0	0	0	0	0	4	0.0195045	0.427482	45.2703	-79	4	0.0195045	0.427482	45.2703	-86
chr1_3869603_3869604	5	0.0242568	0.479157	35.2255	-98	1	0.00495037	0.212132	196.005	95	2	0.00985124	0.300753	95.51	20	2	0.00985124	0.300753	95.51	44	0	0	0	0	0	13	0.0604935	0.788886	10.5307	-96	0	0	0	0	0	2	0.00985124	0.300753	95.5101	-96	0	0	0	0	0	5	0.0242568	0.479157	35.2255	-14	2	0.00985124	0.300753	95.51	-31
chr1_5906728_5906729	8	0.0382169	0.610784	20.1665	-72	3	0.0147026	0.369274	62.0152	-46	3	0.0246528	0.285176	131.817	-42	9	0.0527215	0.585024	33.5915	-69	0	0	0	0	0	7	0.0435633	0.500568	47.475	89	1	0.00495037	0.212132	196.005	-45	6	0.0289597	0.526235	28.5308	-96	0	0	0	0	0	1	0.00495037	0.212132	196.005	-53	0	0	0	0	0
chr1_6096817_6096818	12	0.0660875	0.696702	22.0527	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	8	18	0.101433	0.843544	14.5402	-65	2	0.00985124	0.300753	95.51	-73	5	0.0242568	0.479157	35.2255	-57	0	0	0	0	0	1	0.00495037	0.212132	196.005	-1	0	0	0	0	0
chr1_6133817_6133818	1	0.00495037	0.212132	196.005	-98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.00985124	0.300753	95.51	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_6244806_6244807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_6334193_6334194	8	0.0382169	0.610784	20.1665	-51	6	0.0289597	0.526235	28.5308	-49	13	0.0604935	0.788886	10.5307	-94	2	0.00985124	0.300753	95.51	59	0	0	0	0	0	2	0.00985124	0.300753	95.51	61	1	0.00495037	0.212132	196.005	16	3	0.0147026	0.369274	62.0152	-53	0	0	0	0	0	5	0.0242568	0.479157	35.2255	5	0	0	0	0	0
chr1_6444096_6444097	41	0.192223	1.39575	3.13315	-46	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-42	2	0.00985124	0.300753	95.51	72	3	0.0147026	0.369274	62.0152	-64	0	0	0	0	0	1	0.00495037	0.212132	196.005	-42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_6445465_6445466	16	0.093166	0.782378	17.5316	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0.0481671	0.544051	39.5975	-7	1	0.00495037	0.212132	196.005	36	5	0.0242568	0.479157	35.2255	-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_6446379_6446380	41	0.281775	1.15281	9.16836	22	2	0.00985124	0.300753	95.51	-20	1	0.00495037	0.212132	196.005	39	5	0.0242568	0.479157	35.2255	-14	1	0.00495037	0.212132	196.005	96	14	0.104601	0.646077	24.3001	32	1	0.00495037	0.212132	196.005	-21	11	0.0517314	0.72184	13.3306	-47	0	0	0	0	0	3	0.0147026	0.369274	62.0151	-27	0	0	0	0	0
chr1_6475347_6475348	0	0	0	0	0	1	0.00495037	0.212132	196.005	-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0.210193	1.10687	6.94597	-32	2	0.00985124	0.300753	95.5101	-47	1	0.00495037	0.212132	196.005	-23	0	0	0	0	0	2	0.00985124	0.300753	95.51	-64	0	0	0	0	0
chr1_6528500_6528501	17	0.0873741	0.858386	12.6428	-13	5	0.0242568	0.479157	35.2255	-96	5	0.0242568	0.479157	35.2255	-5	3	0.0147026	0.369274	62.0152	-14	8	0.0382169	0.610784	20.1665	10	8	0.0382169	0.610784	20.1664	-78	0	0	0	0	0	37	0.160145	1.37997	2.15531	-27	0	0	0	0	0	6	0.0389099	0.45399	58.1529	1	2	0.00985124	0.300753	95.51	38
chr1_6543663_6543664	10	0.0472761	0.686443	15.1524	87	16	0.0732655	0.882258	7.64899	34	3	0.0147026	0.369274	62.0152	-16	2	0.00985124	0.300753	95.5101	-90	7	0.033613	0.569862	23.7504	-98	8	0.0382169	0.610784	20.1665	-6	4	0.0195045	0.427482	45.2703	20	5	0.0242568	0.479157	35.2255	-92	0	0	0	0	0	3	0.0147026	0.369274	62.0151	-85	3	0.0147026	0.369274	62.0152	-98
chr1_6549721_6549722	21	0.133363	0.858276	13.7896	71	14	0.104601	0.646077	39.9093	53	5	0.0242568	0.479157	35.2255	-61	31	0.170243	1.12138	7.00672	24	10	0.0472761	0.686443	15.1524	49	27	0.185936	0.93456	14.9801	-2	0	0	0	0	0	11	0.0517314	0.72184	13.3306	-59	2	0.00985124	0.300753	95.5101	-61	44	0.33019	1.14287	8.77865	15	9	0.0427712	0.649519	17.3802	-61
chr1_6552344_6552345	3	0.0147026	0.369274	62.0152	36	1	0.00495037	0.212132	196.005	62	1	0.00495037	0.212132	196.005	17	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	65	0	0	0	0	0	1	0.00495037	0.212132	196.005	14	0	0	0	0	0	1	0.00495037	0.212132	196.005	15	0	0	0	0	0
chr1_6572684_6572685	0	0	0	0	0	1	0.00495037	0.212132	196.005	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.00985124	0.300753	95.5101	53	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	-24
chr1_6642030_6642031	5	0.0242568	0.479157	35.2255	53	0	0	0	0	0	1	0.00495037	0.212132	196.005	-95	2	0.00985124	0.300753	95.51	-3	1	0.00495037	0.212132	196.005	74	2	0.00985124	0.300753	95.51	-32	0	0	0	0	0	21	0.103512	0.974201	8.67815	-10	0	0	0	0	0	3	0.0147026	0.369274	62.0151	49	1	0.00495037	0.212132	196.005	-14
chr1_6822952_6822953	1	0.00495037	0.212132	196.005	-28	1	0.00495037	0.212132	196.005	66	3	0.0147026	0.369274	62.0152	-52	1	0.00495037	0.212132	196.005	-74	1	0.00495037	0.212132	196.005	-94	0	0	0	0	0	0	0	0	0	0	2	0.00985124	0.300753	95.51	-12	0	0	0	0	0	1	0.00495037	0.212132	196.005	-6	0	0	0	0	0
chr1_7794782_7794783	1	0.00495037	0.212132	196.005	-86	4	0.0195045	0.427482	45.2703	-81	1	0.00495037	0.212132	196.005	15	0	0	0	0	0	1	0.00495037	0.212132	196.005	-80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_7799732_7799733	0	0	0	0	0	3	0.0147026	0.369274	62.0152	26	4	0.0195045	0.427482	45.2703	15	2	0.00985124	0.300753	95.51	-8	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	71	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	45	1	0.00495037	0.212132	196.005	47
chr1_7802173_7802174	1	0.00495037	0.212132	196.005	-73	3	0.0147026	0.369274	62.0152	97	2	0.00985124	0.300753	95.51	-98	4	0.0195045	0.427482	45.2703	19	0	0	0	0	0	2	0.00985124	0.300753	95.5101	-44	1	0.00495037	0.212132	196.005	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	58
chr1_7804678_7804679	1	0.00495037	0.212132	196.005	43	12	0.0660875	0.696702	22.0527	45	1	0.00495037	0.212132	196.005	-13	2	0.00985124	0.300753	95.5101	-72	1	0.00495037	0.212132	196.005	80	2	0.00985124	0.300753	95.5101	-48	1	0.00495037	0.212132	196.005	9	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	45	1	0.00495037	0.212132	196.005	62
chr1_7836319_7836320	2	0.00985124	0.300753	95.51	31	1	0.00495037	0.212132	196.005	-97	1	0.00495037	0.212132	196.005	-22	2	0.0198015	0.212132	196.005	35	0	0	0	0	0	6	0.0289597	0.526235	28.5308	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	50	0	0	0	0	0
chr1_7970275_7970276	10	0.0572263	0.623918	28.8885	53	7	0.033613	0.569862	23.7504	47	2	0.00985124	0.300753	95.51	15	14	0.0648004	0.820851	9.43201	59	0	0	0	0	0	23	0.111284	1.02905	7.27912	92	1	0.00495037	0.212132	196.005	98	5	0.0242568	0.479157	35.2255	-3	0	0	0	0	0	8	0.0481671	0.544051	39.5975	87	1	0.00495037	0.212132	196.005	80
chr1_8329519_8329520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_8974535_8974536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	33	0	0	0	0	0
chr1_9019998_9019999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00495037	0.212132	196.005	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_9105481_9105482	9	0.0626717	0.536577	39.2973	-3	2	0.00985124	0.300753	95.51	-65	3	0.0147026	0.369274	62.0152	-43	7	0.033613	0.569862	23.7504	12	1	0.00495037	0.212132	196.005	-6	15	0.0690577	0.851943	8.48064	-2	2	0.00985124	0.300753	95.5101	-96	9	0.0427712	0.649519	17.3802	-7	0	0	0	0	0	2	0.00985124	0.300753	95.51	-19	0	0	0	0	0
chr1_9246474_9246475	0	0	0	0	0	6	0.0389099	0.45399	58.1529	-89	4	0.0195045	0.427482	45.2703	-73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.0147026	0.369274	62.0151	43	0	0	0	0	0	3	0.0147026	0.369274	62.0152	63	1	0.00495037	0.212132	196.005	3
chr1_9262906_9262907	11	0.0517314	0.72184	13.3306	-4	2	0.00985124	0.300753	95.5101	-69	3	0.0147026	0.369274	62.0152	-47	1	0.00495037	0.212132	196.005	-67	1	0.00495037	0.212132	196.005	-7	5	0.0242568	0.479157	35.2255	84	2	0.00985124	0.300753	95.51	75	8	0.0481671	0.544051	39.5975	32	0	0	0	0	0	1	0.00495037	0.212132	196.005	98	0	0	0	0	0
chr1_9329777_9329778	10	0.0472761	0.686443	15.1524	-14	1	0.00495037	0.212132	196.005	11	6	0.0289597	0.526235	28.5308	56	3	0.0147026	0.369274	62.0152	-58	1	0.00495037	0.212132	196.005	76	2	0.00985124	0.300753	95.5101	32	2	0.00985124	0.300753	95.51	20	2	0.00985124	0.300753	95.51	-16	0	0	0	0	0	1	0.00495037	0.212132	196.005	11	0	0	0	0	0
chr1_9569801_9569802	28	0.139799	1.11772	6.47242	-51	13	0.0604935	0.788886	10.5307	-50	2	0.00985124	0.300753	95.51	-57	22	0.0974728	1.05173	4.25927	5	5	0.0342071	0.403494	73.2399	-34	8	0.0382169	0.610784	20.1665	9	2	0.00985124	0.300753	95.5101	-98	10	0.0572263	0.623918	28.8885	-32	3	0.0147026	0.369274	62.0152	2	9	0.0427712	0.649519	17.3802	-44	3	0.0147026	0.369274	62.0152	-91
chr1_9723007_9723008	1	0.00495037	0.212132	196.005	93	1	0.00495037	0.212132	196.005	86	0	0	0	0	0	2	0.00985124	0.300753	95.5101	-66	3	0.0147026	0.369274	62.0152	43	27	0.185936	0.93456	14.9801	81	0	0	0	0	0	3	0.0246528	0.285176	131.817	24	0	0	0	0	0	10	0.0771268	0.537431	65.1364	98	0	0	0	0	0
chr1_9736272_9736273	33	0.196926	1.10991	11.1873	-44	9	0.0427712	0.649519	17.3802	-73	16	0.0732655	0.882258	7.64899	-13	52	0.28133	1.46326	4.76372	27	7	0.033613	0.569862	23.7504	-75	18	0.0815326	0.940875	6.26503	-76	6	0.0289597	0.526235	28.5308	-73	18	0.0815326	0.940875	6.26503	-75	0	0	0	0	0	58	0.424197	1.32914	10.9111	66	3	0.0147026	0.369274	62.0152	-44
chr1_9740657_9740658	54	0.305933	1.45716	2.7842	24	19	0.085592	0.969309	5.68334	-1	17	0.0774238	0.911878	6.91592	-25	25	0.118858	1.08231	6.13474	-8	4	0.0195045	0.427482	45.2703	-98	9	0.0427712	0.649519	17.3802	3	7	0.033613	0.569862	23.7504	37	24	0.115096	1.05586	6.67944	-11	2	0.00985124	0.300753	95.51	6	31	0.130442	1.28108	1.66622	0	6	0.0289597	0.526235	28.5308	90
